dates UTC, chainage (m)
2023-03-22 01:09:45+00:00,159.5
2023-03-30 01:09:27+00:00,158.7
2023-04-07 01:09:59+00:00,159.0
2023-05-09 01:09:41+00:00,148.4
2023-05-17 01:08:54+00:00,151.9
2023-05-24 01:15:07+00:00,151.5
2023-06-25 01:15:20+00:00,160.3
2023-07-11 01:15:31+00:00,168.7
2023-07-12 01:09:14+00:00,173.9
2023-07-27 01:15:37+00:00,168.0
2023-08-04 01:15:33+00:00,163.1
2023-08-12 01:15:41+00:00,163.8
2023-08-20 01:15:37+00:00,168.6
2023-09-13 01:15:52+00:00,175.1
2023-09-14 01:09:43+00:00,168.9
2023-10-07 01:15:57+00:00,167.7
2023-10-16 01:10:16+00:00,164.2
2023-10-31 01:16:02+00:00,159.9
2023-11-16 01:16:01+00:00,170.4
2023-11-24 01:16:07+00:00,170.9
2023-12-02 01:16:00+00:00,174.0
2023-12-03 01:09:56+00:00,173.9
2023-12-10 01:16:04+00:00,176.9
2023-12-26 01:16:10+00:00,176.1
2024-01-12 01:10:10+00:00,169.0
2024-01-27 01:16:04+00:00,165.0
2024-02-13 01:10:08+00:00,178.5
2024-02-28 01:15:58+00:00,126.7
2024-03-15 01:15:59+00:00,149.5
2024-03-16 01:09:28+00:00,145.7
2024-03-31 01:15:50+00:00,140.8
2024-05-03 01:09:22+00:00,153.2
2024-05-10 01:15:05+00:00,136.5
2024-05-11 01:09:38+00:00,146.3
2024-05-18 01:15:18+00:00,155.5
2024-07-05 01:15:06+00:00,152.1
2024-07-21 01:15:16+00:00,160.6
2024-07-22 01:09:14+00:00,166.8
2024-08-06 01:15:20+00:00,140.6
2024-08-14 01:15:28+00:00,139.9
2024-09-07 01:15:32+00:00,147.5
2024-09-08 01:09:33+00:00,146.6
2024-09-15 01:15:44+00:00,155.9
